endpoint	HTTP	records	bytes
/accounts/change-password/	405		40
/accounts/login/	405		40
/accounts/logout/	404		179
/accounts/me/	200	obj	34092
/accounts/token/refresh/	405		40
/accounts/users/	200	62	10482
/ai/assistant/chat/	405		40
/barcode/boxes/	200	500	0
/barcode/boxes/generate/	405		40
/barcode/dispatch/bills/lookup/	405		40
/barcode/dispatch/reports/	200	57	0
/barcode/dispatch/reports/boxes/	200	1000	268338
/barcode/dispatch/reports/pallets/	200	583	122228
/barcode/dispatch/reports/rejected-scans/	200	962	0
/barcode/dispatch/sessions/	ERR	0	0
/barcode/dispatch/sessions/active/	200	55	0
/barcode/dispatch/sessions/closed/	200	0	0
/barcode/dispatch/sessions/completed/	200	2	0
/barcode/dispatch/sessions/from-bill/	ERR	0	0
/barcode/dispatch/settings/	200	obj	0
/barcode/intercompany/dashboard/	200	obj	0
/barcode/intercompany/scan/	405	0	0
/barcode/intercompany/trace/	400	0	0
/barcode/intercompany/transfers/	ERR	0	0
/barcode/items/oitm/	200	100	0
/barcode/loose/	200	7	0
/barcode/pallets/	200	500	0
/barcode/pallets/create/	405	0	0
/barcode/print/bulk/	405	0	0
/barcode/print/history/	200	16	0
/barcode/production-release-oil/	503	0	0
/barcode/repack/	405	0	0
/barcode/scan/	405	0	0
/barcode/scan/history/	200	500	0
/barcode/transfers/box/	405	0	0
/daily-needs-gatein/gate-entries/daily-need/categories/	200	1	0
/dashboards/inventory-age/filter-options/	200	obj	0
/dashboards/inventory-age/report/	200	obj	0
/dashboards/sales-planning-requirement/analysis/	200	obj	0
/dashboards/sales-planning-requirement/refresh/	405	0	0
/dashboards/sales-planning-requirement/report/	200	obj	0
/dashboards/sales-planning-requirement/status/	200	obj	0
/dashboards/stock/	200	obj	0
/dashboards/stock/as-of/	400	0	0
/dispatch-plans/bills/	400	0	0
/dispatch-plans/pipeline/	200	obj	0
/dispatch/bilty-grpo/history/	200	0	0
/dispatch/bilty-grpo/options/	200	obj	0
/dispatch/bilty-grpo/pending/	200	6	0
/dispatch/bilty-grpo/post/	405	0	0
/dispatch/open-bilties/	200	0	0
/dispatch/transporter-invoices/history/	200	0	0
/dispatch/transporter-invoices/post-ap-invoice/	405	0	0
/dispatch/transporter-invoices/preview/	405	0	0
/dispatch/transporter-invoices/submit/	405	0	0
/docking-admin/partial-scan-requests/	200	21	0
/docking-admin/scan-skip-requests/	200	12	0
/driver-management/drivers/	200	296	0
/driver-management/drivers/names/	200	296	0
/gate-core/arrivals/	200	117	108978
/gate-core/arrivals/expected/	400	0	36
/gate-core/bst-ins/	200	0	2
